 flight_date | plane_tail_number | flight1_arrival_time | flight2_departure_time | origin_city_name |    stop_city_name     | dest_city_name | total_time | total_distance 
 27/1/2017   | N3HGAA            | 17:32                | 18:28                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        351 |           2588
 30/1/2019   | N907DN            | 08:46                | 09:59                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        351 |           2794
 7/1/2018    | N69806            | 14:06                | 15:27                  | Seattle, WA      | Newark, NJ            | Boston, MA     |        352 |           2602
 31/1/2019   | N538UW            | 20:04                | 21:25                  | Seattle, WA      | Philadelphia, PA      | Boston, MA     |        352 |           2658
 2/1/2019    | N580UW            | 20:17                | 21:28                  | Seattle, WA      | Philadelphia, PA      | Boston, MA     |        352 |           2658
 21/1/2016   | N69806            | 20:49                | 22:20                  | Seattle, WA      | Washington, DC        | Boston, MA     |        352 |           2719
 10/1/2019   | N855DN            | 08:46                | 09:58                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        352 |           2794
 11/1/2019   | N863DN            | 08:55                | 10:18                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        352 |           2794
 18/1/2019   | N584UW            | 20:20                | 21:30                  | Seattle, WA      | Philadelphia, PA      | Boston, MA     |        353 |           2658
 26/1/2019   | N864DN            | 08:45                | 09:55                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        353 |           2794
 12/1/2018   | N62892            | 15:09                | 18:18                  | Seattle, WA      | Washington, DC        | Boston, MA     |        354 |           2719
 25/1/2017   | N3753             | 12:54                | 22:44                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        354 |           2794
 25/1/2017   | N3MHAA            | 14:19                | 15:07                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        355 |           2588
 4/1/2019    | N173US            | 20:10                | 21:22                  | Seattle, WA      | Philadelphia, PA      | Boston, MA     |        355 |           2658
 6/1/2018    | N3767             | 16:11                | 17:20                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        355 |           2794
 5/1/2018    | N3773D            | 21:45                | 23:24                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        355 |           2794
 3/1/2017    | N3ALAA            | 06:15                | 08:37                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        356 |           2588
 7/1/2018    | N69806            | 14:06                | 23:13                  | Seattle, WA      | Newark, NJ            | Boston, MA     |        356 |           2602
 23/1/2017   | N3764D            | 08:43                | 22:48                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        356 |           2794
 25/1/2019   | N807DN            | 08:48                | 09:52                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        356 |           2794
 3/1/2017    | N3ALAA            | 06:15                | 16:42                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        357 |           2588
 27/1/2019   | N8646B            | 20:28                | 21:32                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        358 |           2594
 2/1/2018    | N704X             | 19:52                | 21:02                  | Seattle, WA      | New York, NY          | Boston, MA     |        358 |           2609
 10/1/2019   | N560UW            | 20:13                | 21:22                  | Seattle, WA      | Philadelphia, PA      | Boston, MA     |        358 |           2658
 24/1/2018   | N3741S            | 21:40                | 23:20                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        358 |           2794
 3/1/2019    | N870DN            | 08:53                | 09:57                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        358 |           2794
 22/1/2018   | N33284            | 12:17                | 13:40                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        359 |           2588
 8/1/2016    | N8606C            | 12:22                | 13:39                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        359 |           2594
 13/1/2019   | N37422            | 09:00                | 10:10                  | Seattle, WA      | Denver, CO            | Boston, MA     |        359 |           2778
 18/1/2019   | N69885            | 09:14                | 10:15                  | Seattle, WA      | Denver, CO            | Boston, MA     |        359 |           2778
 28/1/2019   | N899DN            | 08:47                | 10:13                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        359 |           2794
 13/1/2019   | N408UA            | 19:58                | 20:49                  | Seattle, WA      | Newark, NJ            | Boston, MA     |        361 |           2602
 14/1/2019   | N539UW            | 20:24                | 21:26                  | Seattle, WA      | Philadelphia, PA      | Boston, MA     |        361 |           2658
 30/1/2019   | N69833            | 09:07                | 10:13                  | Seattle, WA      | Denver, CO            | Boston, MA     |        361 |           2778
 8/1/2016    | N69840            | 08:40                | 09:54                  | Seattle, WA      | Denver, CO            | Boston, MA     |        363 |           2778
 5/1/2017    | N3756             | 13:15                | 22:50                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        364 |           2794
 2/1/2019    | N3735D            | 12:45                | 23:54                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        365 |           2794
 17/1/2019   | N833DN            | 08:55                | 09:55                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        365 |           2794
 11/1/2019   | N189UW            | 20:17                | 21:22                  | Seattle, WA      | Philadelphia, PA      | Boston, MA     |        366 |           2658
