 plane_tail_number | year |      daily_avg      
 N247LR            | 2019 |  5.5200000000000000
 N247SY            | 2018 |  5.4516129032258065
 N247SY            | 2019 |  5.5483870967741935
 N247WN            | 2016 |  5.3571428571428571
 N247WN            | 2017 |  5.3548387096774194
 N247WN            | 2018 |  5.6451612903225806
 N247WN            | 2019 |  5.5483870967741935
 N248LR            | 2019 |  5.1666666666666667
 N248NN            | 2018 |  5.1935483870967742
 N248PS            | 2018 |  5.8571428571428571
 N248PS            | 2019 |  5.4090909090909091
 N248WN            | 2016 |  5.4827586206896552
 N248WN            | 2017 |  5.6000000000000000
 N248WN            | 2018 |  5.8000000000000000
 N248WN            | 2019 |  5.5161290322580645
 N249LR            | 2019 |  5.1200000000000000
 N249PS            | 2018 |  5.9310344827586207
 N249PS            | 2019 |  5.8750000000000000
 N249WN            | 2016 |  5.3000000000000000
 N249WN            | 2017 |  5.3870967741935484
 N249WN            | 2018 |  5.2903225806451613
 N249WN            | 2019 |  5.3666666666666667
 N250PS            | 2018 |  5.8709677419354839
 N250PS            | 2019 |  5.2222222222222222
 N250SY            | 2018 |  5.6451612903225806
 N250SY            | 2019 |  5.2758620689655172
 N250WN            | 2016 |  5.4000000000000000
 N250WN            | 2017 |  5.8928571428571429
 N250WN            | 2018 |  5.4482758620689655
 N250WN            | 2019 |  5.2580645161290323
 N251PS            | 2018 |  5.4193548387096774
 N251PS            | 2019 |  5.2000000000000000
 N251SY            | 2018 |  5.2258064516129032
 N251SY            | 2019 |  5.0967741935483871
 N251WN            | 2016 |  5.2000000000000000
 N251WN            | 2017 |  5.3666666666666667
 N251WN            | 2018 |  5.1290322580645161
 N251WN            | 2019 |  5.2903225806451613
 N252SY            | 2018 |  5.1935483870967742
 N252WN            | 2016 |  5.3000000000000000
 N252WN            | 2017 |  5.3448275862068966
 N252WN            | 2018 |  5.6451612903225806
 N252WN            | 2019 |  5.2000000000000000
 N253PS            | 2018 |  5.6896551724137931
 N253PS            | 2019 |  5.4137931034482759
 N253SY            | 2018 |  5.5806451612903226
 N253SY            | 2019 |  5.0344827586206897
 N253WN            | 2016 |  5.2903225806451613
 N253WN            | 2017 |  5.0645161290322581
 N253WN            | 2018 |  5.5666666666666667
 N253WN            | 2019 |  5.0714285714285714
 N254PS            | 2018 |  5.7741935483870968
 N254PS            | 2019 |  5.3666666666666667
 N254SY            | 2018 |  5.1290322580645161
 N254SY            | 2019 |  5.1666666666666667
 N254WN            | 2016 |  5.6666666666666667
 N254WN            | 2017 |  5.3448275862068966
 N254WN            | 2018 |  5.6451612903225806
 N254WN            | 2019 |  5.4193548387096774
 N255SY            | 2018 |  5.6000000000000000
 N255SY            | 2019 |  5.2580645161290323
 N255WN            | 2017 |  5.2758620689655172
 N255WN            | 2018 |  6.3333333333333333
 N255WN            | 2019 |  5.5161290322580645
 N256PS            | 2018 |  5.6129032258064516
 N256PS            | 2019 |  5.5000000000000000
 N256SY            | 2018 |  5.7419354838709677
 N256SY            | 2019 |  5.2000000000000000
 N256WN            | 2017 |  5.5161290322580645
 N256WN            | 2018 |  5.6129032258064516
 N256WN            | 2019 |  6.3636363636363636
 N257PS            | 2018 |  5.1764705882352941
 N257PS            | 2019 |  5.3870967741935484
 N257SY            | 2018 |  5.6451612903225806
 N257WN            | 2016 |  5.3333333333333333
 N257WN            | 2018 |  5.7741935483870968
 N257WN            | 2019 |  5.0333333333333333
 N258JB            | 2016 |  5.3666666666666667
 N258PS            | 2018 |  5.0967741935483871
 N258PS            | 2019 |  5.1724137931034483
 N258SY            | 2018 |  5.1612903225806452
 N258SY            | 2019 |  5.2758620689655172
 N258WN            | 2018 |  5.9354838709677419
 N258WN            | 2019 |  5.2903225806451613
 N259PS            | 2018 |  5.5714285714285714
 N259SY            | 2018 |  5.0322580645161290
 N259SY            | 2019 |  5.7096774193548387
 N259WN            | 2016 |  5.4482758620689655
 N259WN            | 2017 |  5.2580645161290323
 N259WN            | 2018 |  6.0000000000000000
 N259WN            | 2019 |  5.7419354838709677
 N260JS            | 2018 |  5.2142857142857143
 N260JS            | 2019 |  5.2666666666666667
 N260SY            | 2018 |  5.4827586206896552
 N260WN            | 2016 |  5.1612903225806452
 N260WN            | 2017 |  5.1666666666666667
 N260WN            | 2018 |  5.3928571428571429
 N260WN            | 2019 |  5.2258064516129032
 N261PS            | 2018 |  5.0322580645161290
 N261SY            | 2018 |  5.8333333333333333
 N261WN            | 2017 |  5.1290322580645161
 N261WN            | 2018 |  5.7741935483870968
 N261WN            | 2019 |  5.4444444444444444
 N262PS            | 2018 |  5.0322580645161290
 N262WN            | 2016 |  5.1290322580645161
 N262WN            | 2017 |  5.1000000000000000
 N262WN            | 2018 |  5.4193548387096774
 N263NN            | 2018 |  5.0666666666666667
 N263WN            | 2016 |  5.1333333333333333
 N263WN            | 2017 |  5.7666666666666667
 N263WN            | 2018 |  5.3793103448275862
 N263WN            | 2019 |  5.1666666666666667
 N264LV            | 2016 |  5.2903225806451613
 N264LV            | 2017 |  5.3870967741935484
 N264LV            | 2018 |  5.2903225806451613
 N264LV            | 2019 |  5.7419354838709677
 N26545            | 2016 |  5.1739130434782609
 N26545            | 2018 |  5.5384615384615385
 N265JB            | 2017 |  5.1935483870967742
 N265JB            | 2018 |  5.1153846153846154
 N265WN            | 2016 |  5.3225806451612903
 N265WN            | 2017 |  5.0666666666666667
 N265WN            | 2018 |  6.0000000000000000
 N266JB            | 2017 |  5.2258064516129032
 N266JB            | 2018 |  5.4642857142857143
 N266WN            | 2016 |  5.2258064516129032
 N266WN            | 2017 |  5.3333333333333333
 N266WN            | 2018 |  5.4333333333333333
 N266WN            | 2019 |  5.4000000000000000
 N267JB            | 2016 |  5.7666666666666667
 N267JB            | 2018 |  5.4333333333333333
 N267JB            | 2019 |  5.5333333333333333
 N267WN            | 2016 |  5.7419354838709677
 N267WN            | 2017 |  6.1250000000000000
 N267WN            | 2018 |  5.5806451612903226
 N267WN            | 2019 |  5.3125000000000000
 N268WN            | 2017 |  5.4193548387096774
 N268WN            | 2018 |  6.2000000000000000
 N269WN            | 2017 |  6.0909090909090909
 N269WN            | 2018 |  5.4838709677419355
 N270WN            | 2017 |  5.6206896551724138
 N270WN            | 2018 |  5.7666666666666667
 N270WN            | 2019 |  5.2068965517241379
 N271LV            | 2016 |  5.2666666666666667
 N271LV            | 2017 |  5.3000000000000000
 N271LV            | 2018 |  5.3703703703703704
 N271LV            | 2019 |  5.7666666666666667
 N272WN            | 2016 |  5.4666666666666667
 N272WN            | 2017 |  5.5000000000000000
 N272WN            | 2018 |  5.5806451612903226
 N272WN            | 2019 |  6.0000000000000000
 N273JB            | 2017 |  5.0967741935483871
 N273JB            | 2019 |  5.1612903225806452
 N273WN            | 2016 |  5.3333333333333333
 N273WN            | 2018 |  6.0322580645161290
 N273WN            | 2019 |  5.0454545454545455
 N274WN            | 2016 |  5.6129032258064516
 N274WN            | 2017 |  5.1176470588235294
 N274WN            | 2018 |  5.5161290322580645
 N274WN            | 2019 |  6.0000000000000000
 N275WN            | 2016 |  5.3448275862068966
 N275WN            | 2017 |  5.2500000000000000
 N275WN            | 2018 |  5.2903225806451613
 N276WN            | 2016 |  5.3870967741935484
 N276WN            | 2018 |  5.6129032258064516
 N276WN            | 2019 |  5.7000000000000000
 N277WN            | 2016 |  5.3666666666666667
 N277WN            | 2017 |  5.2666666666666667
 N277WN            | 2018 |  6.0000000000000000
 N277WN            | 2019 |  5.2258064516129032
 N278WN            | 2016 |  5.4333333333333333
 N278WN            | 2018 |  5.2580645161290323
 N278WN            | 2019 |  5.5806451612903226
 N279JB            | 2016 |  5.1379310344827586
 N279JB            | 2017 |  5.5862068965517241
 N279WN            | 2016 |  5.4838709677419355
 N279WN            | 2017 |  5.3846153846153846
 N279WN            | 2018 |  5.5806451612903226
 N279WN            | 2019 |  5.8064516129032258
 N280WN            | 2016 |  5.4193548387096774
 N280WN            | 2018 |  6.2000000000000000
 N280WN            | 2019 |  5.6666666666666667
 N281WN            | 2016 |  5.7419354838709677
 N281WN            | 2017 |  6.1290322580645161
 N281WN            | 2018 |  5.2258064516129032
 N281WN            | 2019 |  5.4516129032258065
 N282WN            | 2017 |  5.3870967741935484
 N282WN            | 2018 |  5.2068965517241379
 N282WN            | 2019 |  5.2903225806451613
 N283JB            | 2018 |  5.3846153846153846
 N283WN            | 2016 |  5.1428571428571429
 N283WN            | 2017 |  5.1666666666666667
 N283WN            | 2018 |  5.5333333333333333
 N283WN            | 2019 |  5.1935483870967742
 N284JB            | 2016 |  5.3870967741935484
 N284JB            | 2018 |  6.2333333333333333
 N284WN            | 2016 |  5.3928571428571429
 N284WN            | 2017 |  5.3666666666666667
 N284WN            | 2018 |  5.7142857142857143
 N28529            | 2017 |  5.8387096774193548
 N285WN            | 2017 |  5.6000000000000000
 N285WN            | 2018 |  5.6333333333333333
 N285WN            | 2019 |  5.5483870967741935
 N286WN            | 2018 |  6.1363636363636364
 N287WN            | 2016 |  5.5161290322580645
 N287WN            | 2017 |  5.9032258064516129
 N287WN            | 2018 |  5.5333333333333333
 N287WN            | 2019 |  5.5333333333333333
 N288WN            | 2016 |  5.1379310344827586
 N288WN            | 2017 |  5.0645161290322581
 N288WN            | 2018 |  6.4838709677419355
 N288WN            | 2019 |  5.6896551724137931
 N289CT            | 2016 |  5.2500000000000000
 N289CT            | 2017 |  5.6896551724137931
 N289CT            | 2018 |  5.7666666666666667
 N289CT            | 2019 |  5.1000000000000000
 N290WN            | 2016 |  5.4516129032258065
 N290WN            | 2017 |  5.1935483870967742
 N290WN            | 2018 |  5.3225806451612903
 N290WN            | 2019 |  5.5517241379310345
 N291WN            | 2016 |  5.1481481481481481
 N291WN            | 2017 |  5.5483870967741935
 N291WN            | 2018 |  5.7666666666666667
 N291WN            | 2019 |  5.1935483870967742
 N292JB            | 2017 |  5.1935483870967742
 N292JB            | 2018 |  5.0322580645161290
 N292JB            | 2019 |  5.0333333333333333
 N292WN            | 2017 |  5.6333333333333333
 N292WN            | 2018 |  5.2666666666666667
 N292WN            | 2019 |  5.6774193548387097
 N293WN            | 2017 |  5.6774193548387097
 N293WN            | 2018 |  5.6451612903225806
 N293WN            | 2019 |  5.2903225806451613
 N294JB            | 2016 |  5.2758620689655172
